Name,ID,Software
M90x6.0 Tap Drill,84,SW
M90x4.0 Tap Drill,86,SW
M8x1.25 Tap Drill,6.8,SW
M8x1.0 Tap Drill,7,SW
M80x6.0 Tap Drill,74,SW
M80x4.0 Tap Drill,76,SW
M7x1.0 Tap Drill,6,SW
M72x6.0 Tap Drill,66,SW
M72x4.0 Tap Drill,68,SW
M6x1.0 Tap Drill,5,SW
M68x6.0 Tap Drill,62,SW
M64x6.0 Tap Drill,58,SW
M64x4.0 Tap Drill,60,SW
M60x5.5 Tap Drill,54.5,SW
M60x1.5 Tap Drill,58.5,SW
M5x0.8 Tap Drill,4.2,SW
M56x5.5 Tap Drill,50.5,SW
M56x4.0 Tap Drill,52,SW
M52x5.0 Tap Drill,47,SW
M4x0.7 Tap Drill,3.3,SW
M48x5.0 Tap Drill,43,SW
M48x3.0 Tap Drill,45,SW
M45x4.5 Tap Drill,40.5,SW
M45x1.5 Tap Drill,43.5,SW
M42x4.5 Tap Drill,37.5,SW
M42x3.0 Tap Drill,39,SW
M3x0.5 Tap Drill,2.5,SW
M39x4.0 Tap Drill,35,SW
M39x3.0 Tap Drill,36,SW
M39x2.0 Tap Drill,37,SW
M36x4.0 Tap Drill,32,SW
M36x3.0 Tap Drill,33,SW
M36x2.0 Tap Drill,34,SW
M33x3.5 Tap Drill,29.5,SW
M33x2.0 Tap Drill,31,SW
M30x3.5 Tap Drill,26.5,SW
M30x2.0 Tap Drill,28,SW
M3.5x0.6 Tap Drill,2.9,SW
M2x0.4 Tap Drill,1.6,SW
M27x3.0 Tap Drill,24,SW
M27x2.0 Tap Drill,25,SW
M24x3.0 Tap Drill,21,SW
M24x2.0 Tap Drill,22,SW
M22x2.5 Tap Drill,19.5,SW
M22x2.0 Tap Drill,20,SW
M22x1.5 Tap Drill,20.5,SW
M20x2.5 Tap Drill,17.5,SW
M20x2.0 Tap Drill,18,SW
M20x1.5 Tap Drill,18.5,SW
M2.5x0.45 Tap Drill,2.05,SW
M2.2x0.45 Tap Drill,1.75,SW
M18x2.5 Tap Drill,15.5,SW
M18x2.0 Tap Drill,16,SW
M18x1.5 Tap Drill,16.5,SW
M16x2.0 Tap Drill,14,SW
M16x1.5 Tap Drill,14.5,SW
M14x2.0 Tap Drill,12,SW
M14x1.5 Tap Drill,12.5,SW
M12x1.75 Tap Drill,10.2,SW
M12x1.5 Tap Drill,10.5,SW
M12x1.25 Tap Drill,10.8,SW
M10x1.5 Tap Drill,8.5,SW
M10x1.25 Tap Drill,8.8,SW
